frame,inst_idx,track_id,bbox_conf,label,dist_cat_a,dist_cat_b,reason,bbox
244,1,6,0.649,黑白貓,0.910,0.480,,"1504,880,2087,1336"
245,0,3,0.884,橘貓（目標貓）,0.170,0.496,,"1010,445,1358,837"
246,0,3,0.891,橘貓（目標貓）,0.170,0.495,,"1009,444,1359,838"
246,1,6,0.881,黑白貓,0.902,0.460,,"1579,890,2170,1386"
247,0,3,0.901,橘貓（目標貓）,0.166,0.493,,"1009,443,1364,840"
247,1,6,0.857,黑白貓,0.884,0.447,,"1576,890,2202,1380"
248,0,3,0.902,橘貓（目標貓）,0.166,0.494,,"1010,442,1364,840"
248,1,6,0.866,黑白貓,0.887,0.476,,"1572,888,2250,1403"
249,0,3,0.905,橘貓（目標貓）,0.166,0.490,,"1007,441,1367,843"
250,0,3,0.900,橘貓（目標貓）,0.166,0.494,,"1010,443,1365,841"
250,1,6,0.791,黑白貓,0.906,0.464,,"1610,880,2185,1393"
251,0,3,0.897,橘貓（目標貓）,0.166,0.494,,"1010,443,1364,839"
251,1,6,0.707,黑白貓,0.902,0.462,,"1611,884,2230,1421"
252,0,3,0.886,橘貓（目標貓）,0.166,0.494,,"1010,445,1357,838"
252,1,6,0.825,黑白貓,0.909,0.435,,"1600,908,2249,1414"
253,0,3,0.876,橘貓（目標貓）,0.167,0.491,,"1010,444,1353,840"
253,1,6,0.865,黑白貓,0.904,0.427,,"1601,914,2242,1419"
254,0,3,0.877,橘貓（目標貓）,0.167,0.492,,"1010,444,1354,840"
254,1,6,0.838,黑白貓,0.915,0.437,,"1606,914,2236,1420"
255,0,3,0.884,橘貓（目標貓）,0.166,0.495,,"1011,445,1357,839"
255,1,6,0.865,黑白貓,0.929,0.486,,"1618,922,2206,1397"
256,0,3,0.885,橘貓（目標貓）,0.166,0.495,,"1011,445,1357,838"
256,1,6,0.875,黑白貓,0.919,0.464,,"1614,923,2228,1403"
257,0,3,0.883,橘貓（目標貓）,0.166,0.495,,"1011,445,1357,838"
257,1,6,0.870,黑白貓,0.920,0.461,,"1618,923,2230,1399"
258,0,3,0.886,橘貓（目標貓）,0.166,0.495,,"1011,445,1358,839"
258,1,6,0.726,黑白貓,0.864,0.426,,"1609,928,2255,1435"
259,0,3,0.886,橘貓（目標貓）,0.166,0.495,,"1010,445,1358,839"
259,1,6,0.880,黑白貓,0.869,0.475,,"1612,925,2264,1373"
260,0,6,0.891,黑白貓,0.864,0.464,,"1608,932,2256,1440"
260,1,3,0.878,橘貓（目標貓）,0.167,0.491,,"1010,444,1354,840"
261,0,6,0.920,黑白貓,0.866,0.448,,"1610,934,2248,1440"
261,1,3,0.891,橘貓（目標貓）,0.166,0.494,,"1010,445,1359,836"
262,0,6,0.920,黑白貓,0.867,0.460,,"1611,936,2244,1440"
262,1,3,0.888,橘貓（目標貓）,0.166,0.495,,"1010,445,1358,835"
263,0,6,0.906,黑白貓,0.877,0.504,,"1611,939,2232,1439"
263,1,3,0.884,橘貓（目標貓）,0.166,0.495,,"1011,445,1357,837"
264,0,3,0.901,橘貓（目標貓）,0.165,0.494,,"1009,443,1367,840"
264,1,6,0.722,黑白貓,0.733,0.391,,"1610,907,2206,1420"
265,0,3,0.901,橘貓（目標貓）,0.165,0.493,,"1008,442,1366,835"
265,1,6,0.868,黑白貓,0.714,0.374,,"1606,915,2188,1378"
266,0,3,0.901,橘貓（目標貓）,0.165,0.493,,"1006,442,1366,837"
266,1,6,0.718,黑白貓,0.735,0.373,,"1612,931,2175,1315"
267,0,6,0.924,黑白貓,0.712,0.354,,"1567,922,2161,1363"
267,1,3,0.895,橘貓（目標貓）,0.164,0.495,,"1008,442,1364,837"
268,0,6,0.909,黑白貓,0.727,0.366,,"1565,913,2115,1353"
268,1,3,0.896,橘貓（目標貓）,0.162,0.497,,"1008,443,1363,836"
269,0,3,0.891,橘貓（目標貓）,0.152,0.486,,"1009,443,1360,834"
269,1,6,0.857,黑白貓,0.767,0.366,,"1532,902,2095,1282"
270,0,6,0.917,黑白貓,0.777,0.398,,"1619,890,2091,1301"
270,1,3,0.901,橘貓（目標貓）,0.150,0.486,,"1008,441,1367,837"
271,0,6,0.916,黑白貓,0.695,0.382,,"1609,832,2112,1295"
